日付,レギュラーガソリン価格(\/L),原油価格($/bbl),月中平均為替相場（USD/JPY）,c重油価格(\/kL),輸入物価指数（b重油・c重油）,輸入物価指数（原油）
1991年1月,139,22.58,133.65,24100,72.1,86.2
1991年2月,137,18.13,130.44,24100,56.5,69.9
1991年3月,133,18.07,137.09,24100,48.6,57.8
1991年4月,132,18.47,137.15,24100,45,55.4
1991年5月,132,18.82,138.02,24100,46.2,55.4
1991年6月,131,17.93,139.83,24100,49.4,57
1991年7月,131,19.05,137.98,24100,47.7,55.9
1991年8月,131,19.37,136.85,24100,42.6,57
1991年9月,131,20.05,134.59,24100,40.7,57.5
1991年10月,131,21.47,130.81,24100,40.8,58.5
1991年11月,131,20.77,129.64,24100,42,60.1
1991年12月,131,17.75,128.07,24100,43.4,60.4
1992年1月,131,17.38,125.05,21800,42.7,54.6
1992年2月,130,17.62,127.53,21800,40.3,52
1992年3月,130,17.45,132.75,21800,39.4,53.2
1992年4月,129,18.63,133.59,21800,37.5,53.5
1992年5月,128,19.5,130.55,21800,38.9,54.7
1992年6月,128,20.83,126.9,21800,42.9,55.2
1992年7月,128,20.17,125.66,21800,48.9,58.2
1992年8月,128,19.62,126.34,21800,45.3,59.7
1992年9月,128,20.15,122.72,21800,43.5,56.2
1992年10月,128,20.08,121.14,21800,43.8,55.4
1992年11月,129,18.88,123.84,21800,45.5,55.8
1992年12月,129,17.93,123.98,21800,46.9,54.7
1993年1月,129,17.22,125.02,17100,48.7,52.5
1993年2月,129,18.17,120.97,17100,46.4,49.8
1993年3月,129,18.47,117.02,17100,42.2,48.2
1993年4月,129,18.43,112.37,17100,42.7,47.3
1993年5月,129,18.17,110.23,17100,52.1,46.7
1993年6月,129,17.47,107.29,17100,52.7,45.1
1993年7月,128,16.32,107.77,17100,45.1,44.4
1993年8月,128,16.48,103.72,17100,33.5,40.8
1993年9月,128,15.9,105.27,17100,32.1,40.1
1993年10月,127,16.52,106.94,17100,31.6,39.5
1993年11月,127,15.2,107.81,17100,30.3,40.6
1993年12月,127,13.77,109.72,17100,28.2,39.7
1994年1月,127,14.13,111.49,16730,27.7,37.4
1994年2月,126,13.78,106.14,16730,28.2,37
1994年3月,126,13.62,105.12,16730,27.9,35.7
1994年4月,126,15.08,103.48,16730,27,34.3
1994年5月,125,16.28,104,16730,30,36.3
1994年6月,125,17.17,102.69,16730,33.4,37.9
1994年7月,124,17.88,98.54,16730,37.7,39.1
1994年8月,124,17,99.86,16730,44.7,41
1994年9月,123,16.2,98.79,16730,40.1,40.5
1994年10月,123,16.47,98.4,16730,31.5,39.3
1994年11月,123,17.08,98,16730,30.4,38.5
1994年12月,122,15.94,100.17,16730,31.2,39.8
1995年1月,121,16.9,99.79,17100,31.2,39.8
1995年2月,117,17.42,98.23,17100,31.2,40.2
1995年3月,117,17.35,90.77,17100,31.3,39
1995年4月,117,18.65,83.53,17100,31.2,36.2
1995年5月,115,18.42,85.21,17100,31.6,37
1995年6月,113,17.36,84.54,17100,32.7,37.1
1995年7月,112,16.08,87.24,17100,31.2,36.2
1995年8月,112,16.47,94.56,17100,31.6,36.3
1995年9月,112,16.82,100.31,17100,32.7,39.3
1995年10月,113,16.12,100.68,17100,34.4,40.3
1995年11月,112,16.74,101.89,17100,35.1,39.7
1995年12月,111,17.87,101.86,17100,37.1,40.5
1996年1月,110,17.8,105.81,17100,41.5,45.2
1996年2月,108,17.7,105.7,17100,39.5,45.6
1996年3月,107,19.4,105.85,17100,39,44.8
1996年4月,108,20.66,107.4,19400,39.1,47
1996年5月,107,19.06,106.49,19400,41,47.5
1996年6月,107,18.51,108.82,19400,42.9,47.9
1996年7月,107,19.59,109.25,19700,42.8,48.6
1996年8月,107,20.44,107.84,19700,42.1,48.9
1996年9月,107,22.26,109.76,19700,43.6,50.9
1996年10月,106,23.61,112.3,21750,44.9,56.2
1996年11月,107,22.39,112.27,21750,48.1,60
1996年12月,108,23.62,113.74,21750,48.3,60.4
1997年1月,108,23.23,118.18,23450,53,63.6
1997年2月,108,20.42,123.01,23450,54.5,66.6
1997年3月,108,19.33,122.66,23450,51.6,61.9
1997年4月,111,17.88,125.47,22000,49.8,58.9
1997年5月,109,19.37,118.91,22000,46.7,54.8
1997年6月,108,17.92,114.31,22000,46.3,52.8
1997年7月,107,18.33,115.1,20600,43,50.9
1997年8月,107,18.7,117.89,20600,45.1,50.5
1997年9月,106,18.66,120.74,20600,43.5,52.4
